Original Question,Rephrased Question,Answer A,Answer B,Answer C,Correct Choice
"A certain aircraft bolt has an overall length of 1-1/2 inches, with a shank length of 1-3/16 inches, and a threaded portion length of 5/8 inch. What is the grip length?","A certain aircraft bolt has an overall length of 1-1/2 inches, with a shank length of 1-3/16 inches, and a threaded portion length of 5/8 inch. What is the grip length?",.5625 inch.,.8750 inch.,.3125 inch.,A
Select the fractional equivalent for a 0.0625 inch thick sheet of aluminum.,Select the fractional equivalent for a 0.0625 inch thick sheet of aluminum.,1/16,3/64,1/32,A
Express 5/8 as a percent.,Express 5/8 as a percent.,.625 percent.,6.25 percent.,62.5 percent.,C
Select the decimal which is most nearly equal to 77/64.,Select the decimal which is most nearly equal to 77/64.,0.08311,0.8311,1.2031,C
"An airplane flying a distance of 750 miles used 60 gallons of gasoline. How many gallons will it need to travel 2,500 miles?","An airplane flying a distance of 750 miles used 60 gallons of gasoline. How many gallons will it need to travel 2,500 miles?","31,250","9,375",200,C
What is the speed ratio of an input gear with 36 teeth meshed to a gear with 20 teeth?,What is the speed ratio of an input gear with 36 teeth meshed to a gear with 20 teeth?,9:5,1:0.56,1:1.8,C
A pinion gear with 14 teeth is driving a spur gear with 42 teeth at 140 RPM. Determine the speed of the pinion gear.,A pinion gear with 14 teeth is driving a spur gear with 42 teeth at 140 RPM. Determine the speed of the pinion gear.,588 RPM.,420 RPM.,126 RPM.,B
The parts department's profit is 12 percent on a new part. How much does the part cost if the selling price is $145.60?,The parts department's profit is 12 percent on a new part. How much does the part cost if the selling price is $145.60?,$128.13,$125.60,$130.00,C
"If an engine is turning 1,965 rpm at 65 percent power, what is its maximum rpm?","When an engine is turning 1,965 rpm at 65 percent power, what is its maximum rpm?","2,653","3,023","3,242",B
An engine of 98 horsepower maximum is running at 75 percent power. What is the horsepower being developed?,An engine of 98 horsepower maximum is running at 75 percent power. What is the horsepower being developed?,87.00,33.30,73.50,C
A blueprint shows a hole of 0.17187 to be drilled. Which fraction size drill bit is most nearly equal?,A blueprint shows a hole of 0.17187 to be drilled. Which fraction size drill bit is most nearly equal?,11/64,9/32,11/32,A
Which decimal is most nearly equal to a bend radius of 31/64?,Which decimal is most nearly equal to a bend radius of 31/64?,0.2065,0.4844,0.3164,B
Sixty-five engines are what percent of 80 engines?,Sixty-five engines are what percent of 80 engines?,81 percent.,65 percent.,52 percent.,A
The radius of a piece of round stock is 7/32. Select the decimal which is most nearly equal to the diameter.,The radius of a piece of round stock is 7/32. Select the decimal which is most nearly equal to the diameter.,0.2187,0.4375,0.3531,B
"Maximum life for a certain part is 1100 hours. Recently, 15 of these parts were removed from different aircraft with an average life of 835.3 hours. What percent of the maximum part life has been achieved?","Maximum life for a certain part is 1100 hours. Recently, 15 of these parts were removed from different aircraft with an average life of 835.3 hours. What percent of the maximum part life has been achieved?",75.9 percent.,76.9 percent.,75.0 percent.,A
What is the ratio of 10 feet to 30 inches?,What is the ratio of 10 feet to 30 inches?,4:1,1:3,3:1,A
"How much current does a 30-volt, 1/2 horsepower motor that is 85 percent efficient draw from the bus?|(Note: 1 horsepower = 746 watts)","How much current does a 30-volt, 1/2 horsepower motor that is 85 percent efficient draw from the bus?|(Note: 1 horsepower = 746 watts)",14.6 amperes.,12.4 amperes.,14.3 amperes.,A
Solve the equation.|[(4 x -3)+(-9 x 2)] __division__ 2 =,Solve the equation.|[(4 x -3)+(-9 x 2)] __division__ 2 =,-30,-15,-5,B
Solve the equation.|(64 x 3/8) __division__ 3/4 =,Solve the equation.|(64 x 3/8) __division__ 3/4 =,18,24,32,C
Solve the equation.|(32 x 3/8) __division__ 1/6 =,Solve the equation.|(32 x 3/8) __division__ 1/6 =,12,2,72,C
"What is the ratio of a gasoline fuel load of 200 gallons to one of 1,680 pounds?","What is the ratio of a gasoline fuel load of 200 gallons to one of 1,680 pounds?",5:7,2:3,5:42,A
Solve the equation.||1/2 (-30 + 34) 5,Solve the equation.||1/2 (-30 + 34) 5,10,95,160,A
(Refer to Figure 58.) Solve the equation.,(Refer to Figure 58.) Solve the equation.,174.85,68.037,14.002,C
(Refer to Figure 59.) Solve the equation.,(Refer to Figure 59.) Solve the equation.,+31.25,-5.20,-31.25,B
Solve the equation.|4 - 3[-6(2 + 3) + 4] =,Solve the equation.|4 - 3[-6(2 + 3) + 4] =,82,-25,-71,A
Solve the equation.|-6[-9(-8 + 4) - 2(7 + 3)] =,Solve the equation.|-6[-9(-8 + 4) - 2(7 + 3)] =,-332,216,-96,C
Solve the equation.|(-3 + 2)(-12 - 4) + (-4 + 6) x 3,Solve the equation.|(-3 + 2)(-12 - 4) + (-4 + 6) x 3,20,22,28,B
(Refer to Figure 60.) Solve the equation.,(Refer to Figure 60.) Solve the equation.,11.9,11.7,11.09,A
Where is the record of compliance with Airworthiness Directives or manufacturers' service bulletins normally indicated?,Where is the record of compliance with Airworthiness Directives or manufacturers' service bulletins normally indicated?,FAA Form 337.,Aircraft maintenance records.,Flight manual.,B
"If work performed on an aircraft has been done satisfactorily, the signature of an authorized person on the maintenance records for maintenance or alterations performed constitutes","When work performed on an aircraft has been done satisfactorily, the signature of an authorized person on the maintenance records for maintenance or alterations performed constitutes",approval of the aircraft for return to service.,approval for return to service only for the work performed.,verification that the maintenance or alterations were performed referencing approved maintenance data.,B
"During an annual inspection, if a defect is found which makes the aircraft unairworthy, the person disapproving must","During an annual inspection, if a defect is found which makes the aircraft unairworthy, the person disapproving must",void the aircraft's Airworthiness Certificate.,submit a Malfunction or Defect Report.,provide a written notice of the defect to the owner.,C
What is the means by which the FAA notifies aircraft owners and other interested persons of unsafe conditions and prescribes the condition under which the product may continue to be operated?,What is the means by which the FAA notifies aircraft owners and other interested persons of unsafe conditions and prescribes the condition under which the product may continue to be operated?,Airworthiness Directives.,Aviation Maintenance Alerts.,Aviation Safety Data.,A
Which is an appliance major repair?,Which is an appliance major repair?,Overhaul of a hydraulic pressure pump.,Repairs to a propeller governor or its control.,Troubleshooting and repairing broken circuits in landing light circuits.,A
Where should you find this entry?|'Removed right wing from aircraft and removed skin from outer 6 feet. Repaired buckled spar 49 inches from tip in accordance with figure 8 in the manufacturer's structural repair manual No. 28-1.',Where should you find this entry?|'Removed right wing from aircraft and removed skin from outer 6 feet. Repaired buckled spar 49 inches from tip in accordance with figure 8 in the manufacturer's structural repair manual No. 28-1.',Aircraft engine maintenance record.,Aircraft minor repair and alteration record.,FAA Form 337.,C
Which maintenance action is an airframe major repair?,Which maintenance action is an airframe major repair?,Changes to the wing or to fixed or movable control surfaces which affect flutter and vibration characteristics.,Rewinding the field coil of an electrical accessory.,The repair of portions of skin sheets by making additional seams.,C
Which aircraft record entry is the best description of the replacement of several damaged heli-coils in a casting?,Which aircraft record entry is the best description of the replacement of several damaged heli-coils in a casting?,"Eight 1/4 -- 20 inch standard heli-coils were replaced. The damaged inserts were extracted, the tapped holes gaged, then new inserts installed, and tangs removed.",Eight 1/4 -- 20 inch standard heli-coils were installed in place of damaged ones.,"Eight 1/4 -- 20 inch standard heli-coil inserts were repaired by replacing the damaged inserts with a lock-type insert, after the tapped holes were checked for corrosion.",A
